agent,prey,pred,agentpreydist,agentpreddist,utility
0,0,0,0,0,100
0,0,1,0,1,100
0,0,2,0,2,1.757006187893535
0,0,3,0,3,1.7740374990242123
0,0,4,0,2,1.757006187893535
0,0,5,0,3,1.7740374988351675
0,0,6,0,4,1.6295502400358186
0,0,7,0,4,1.6295502378354891
0,0,8,0,5,1.6185803414923172
0,0,9,0,5,1.618580333400324
0,0,10,0,6,1.5769741974925044
0,0,11,0,6,1.5769741334597351
0,0,12,0,7,1.5683669826266924
0,0,13,0,7,1.5683667964960195
0,0,14,0,8,1.5517241131226975
0,0,15,0,8,1.551723185099637
0,0,16,0,9,1.5463092080883611
0,0,17,0,9,1.5463125360405912
0,0,18,0,10,1.5400814331528165
0,0,19,0,10,1.5400759972125326
0,0,20,0,11,1.5364286711894646
0,0,21,0,11,1.5367668161109114
0,0,22,0,11,1.536340270105509
0,0,23,0,10,1.5413977211359646
0,0,24,0,11,1.5365416531880811
0,0,25,0,12,1.5358935516552972
0,0,26,0,11,1.5365416531880802
0,0,27,0,10,1.5413977211359646
0,0,28,0,9,1.5459848006297905
0,0,29,0,8,1.5561669616123233
0,0,30,0,8,1.5543505880217139
0,0,31,0,7,1.5797888767333137
0,0,32,0,7,1.5788920268877222
0,0,33,0,6,1.5868581654572738
0,0,34,0,7,1.5617331944222874
0,0,35,0,7,1.5827283922602198
0,0,36,0,6,1.5748859539389448
0,0,37,0,5,1.654580210251988
0,0,38,0,4,1.6626217829108993
0,0,39,0,5,1.6027764997682534
0,0,40,0,6,1.591132426891929
0,0,41,0,5,1.6622119276098606
0,0,42,0,4,1.6420761274499542
0,0,43,0,3,1.8044185042953171
0,0,44,0,2,1.8247203021138596
0,0,45,0,1,100
0,0,46,0,2,1.820563851327866
0,0,47,0,3,1.7877687606299195
0,0,48,0,2,1.6195341026351733
0,0,49,0,1,100
0,1,0,1,0,100
0,1,1,1,1,100
0,1,2,1,2,3.0220686296015082
0,1,3,1,3,3.0304499903427047
0,1,4,1,2,3.0220686296015082
0,1,5,1,3,3.0304499902863737
0,1,6,1,4,2.7747894588970285
0,1,7,1,4,2.774789458408328
0,1,8,1,5,2.7558323318391396
0,1,9,1,5,2.75583232911077
0,1,10,1,6,2.656028428995012
0,1,11,1,6,2.6560284153986666
0,1,12,1,7,2.637703670875311
0,1,13,1,7,2.6377036262221196
0,1,14,1,8,2.59407451644342
0,1,15,1,8,2.59407430972394
0,1,16,1,9,2.5820558635744955
0,1,17,1,9,2.5820565770013166
0,1,18,1,10,2.568079303542874
0,1,19,1,10,2.5680778304788605
0,1,20,1,11,2.5623546079171953
0,1,21,1,11,2.5624033476632766
0,1,22,1,11,2.5579795373054073
0,1,23,1,10,2.5568298054185075
0,1,24,1,11,2.5556812166310396
0,1,25,1,12,2.5578459239781313
0,1,26,1,11,2.555681216631039
0,1,27,1,10,2.5568298054185075
0,1,28,1,9,2.55941350851827
0,1,29,1,8,2.5635069134296424
0,1,30,1,8,2.5635285821777027
